***** AT90S4434-A
***** AT90S8535-A
13 (CTS/HWB/T0/INT7)PD7

27 UCAP
28 UGND
29 D+/SCK
30 D-/SDATA
31 UVCC

1 XTAL1

32 AVCC
3 GND
4 VCC
***** AT90USB82-M
***** AT90USB162-M
14 (SS/PCINT0)PB0
15 (SCLK/PCINT1)PB1
16 (PDI/MOSI/PCINT2)PB2
17 (PDO/MISO/PCINT3)PB3
18 (T1/PCINT4)PB4
19 (PCINT5)PB5
20 (PCINT6)PB6
21 (OC0A/OC1C/PCINT7)PB7

2 XTAL2(PC0)
24o RESET(PC1/dW)
5 (PCINT11)PC2
26 (PCINT10)PC4
25 (OC1B/PCINT9)PC5
23 (OC1A/PCINT8)PC6
22 (ICP1/CLKO/INT4)PC7
---






























---
6 (OC0B/INT0)PD0
7 (AIN0/INT1)PD1
8 (RXD1/AIN1/INT2)PD2
9 (TXD1/INT3)PD3
10 (INT5)PD4
11 (XCK/PCINT12)PD5
12 (RTS/INT6)PD6
13 (CTS/HWB/T0/INT7)PD7

27 UCAP
28 UGND
29 D+/SCK
30 D-/SDATA
31 UVCC

1 XTAL1

32 AVCC
3 GND
4 VCC
***** ATMEGA128-A
61 PF0(ADC0)
60 PF1(ADC1)
59 PF2(ADC2)
58 PF3(ADC3)
57 PF4(ADC4/TCK)
56 PF5(ADC5/TMS)
55 PF6(ADC6/TDO)
54 PF7(ADC7/TDI)

35 (A8)PC0
36 (A9)PC1
37 (A10)PC2
38 (A11)PC3
39 (A12)PC4
40 (A13)PC5
41 (A14)PC6
42 (A15)PC7

2 PE0(RXD0/PDI)
3 PE1(TXD0/PDO)
4 PE2(XCK0/AIN0)
5 PE3(OC3A/AIN1)
6 PE4(OC3B/INT4)
7 PE5(OC3C/INT5)
8 PE6(T3/INT6)
9 PE7(IC3/INT7)

33 PG0(WR)
34 PG1(RD)
43 PG2(ALE)
18 PG3(TOSC2)
19 PG4(TOSC1)
---


















---
51 (AD0)PA0
50 (AD1)PA1
49 (AD2)PA2
48 (AD3)PA3
47 (AD4)PA4
46 (AD5)PA5
45 (AD6)PA6
44 (AD7)PA7

25 (SCL/INT0)PD0
26 (SDA/INT1)PD1
27 (RXD1/INT2)PD2
28 (TXD1/INT3)PD3
29 (ICP1)PD4
30 (XCK1)PD5
31 (T1)PD6
32 (T2)PD7

10 (SS)PB0
11 (SCK)PB1
12 (MOSI)PB2
13 (MISO)PB3
14 (OC0)PB4
15 (OC1A)PB5
16 (OC1B)PB6
17 (OC2/OC1C)PB7

23 XTAL2
24 XTAL1

1o PEN
20o RESET

63 AGND
62 AREF
64 AVCC
22 GND
53 GND
52 VCC
21 VCC
***** ATMEGA128-M
61 PF0(ADC0)
60 PF1(ADC1)
59 PF2(ADC2)
58 PF3(ADC3)
57 PF4(ADC4/TCK)
56 PF5(ADC5/TMS)
55 PF6(ADC6/TDO)
54 PF7(ADC7/TDI)

35 (A8)PC0
36 (A9)PC1
37 (A10)PC2
38 (A11)PC3
39 (A12)PC4
40 (A13)PC5
41 (A14)PC6
42 (A15)PC7

2 PE0(RXD0/PDI)
3 PE1(TXD0/PDO)
4 PE2(XCK0/AIN0)
5 PE3(OC3A/AIN1)
6 PE4(OC3B/INT4)
7 PE5(OC3C/INT5)
8 PE6(T3/INT6)
9 PE7(IC3/INT7)

33 PG0(WR)
34 PG1(RD)
43 PG2(ALE)
18 PG3(TOSC2)
19 PG4(TOSC1)
---


















---
51 (AD0)PA0
50 (AD1)PA1
49 (AD2)PA2
48 (AD3)PA3
47 (AD4)PA4
46 (AD5)PA5
45 (AD6)PA6
44 (AD7)PA7

25 (SCL/INT0)PD0
26 (SDA/INT1)PD1
